payload,label
/http://example.com,anom
/%5cexample.com,anom
/%2f%2fexample.com,anom
/example.com/%2f%2e%2e,anom
/http:/example.com,anom
/?url=http://example.com&next=http://example.com&redirect=http://example.com&redir=http://example.com&rurl=http://example.com,anom
/?url=//example.com&next=//example.com&redirect=//example.com&redir=//example.com&rurl=//example.com,anom
/?url=/\/example.com&next=/\/example.com&redirect=/\/example.com,anom
/redirect?url=http://example.com&next=http://example.com&redirect=http://example.com&redir=http://example.com&rurl=http://example.com,anom
/redirect?url=//example.com&next=//example.com&redirect=//example.com&redir=//example.com&rurl=//example.com,anom
/redirect?url=/\/example.com&next=/\/example.com&redirect=/\/example.com&redir=/\/example.com&rurl=/\/example.com,anom
/.example.com,anom
///\;@example.com,anom
///example.com/,anom
///example.com,anom
///example.com/%2f..,anom
/////example.com/,anom
/////example.com,anom
//google.com/%2f..,anom
//www.whitelisteddomain.tld@google.com/%2f..,anom
///google.com/%2f..,anom
///www.whitelisteddomain.tld@google.com/%2f..,anom
////google.com/%2f..,anom
////www.whitelisteddomain.tld@google.com/%2f..,anom
https://google.com/%2f..,anom
https://www.whitelisteddomain.tld@google.com/%2f..,anom
/https://google.com/%2f..,anom
/https://www.whitelisteddomain.tld@google.com/%2f..,anom
//www.google.com/%2f%2e%2e,anom
//www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
///www.google.com/%2f%2e%2e,anom
///www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
////www.google.com/%2f%2e%2e,anom
////www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
https://www.google.com/%2f%2e%2e,anom
https://www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
/https://www.google.com/%2f%2e%2e,anom
/https://www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
//google.com/,anom
//www.whitelisteddomain.tld@google.com/,anom
///google.com/,anom
///www.whitelisteddomain.tld@google.com/,anom
////google.com/,anom
////www.whitelisteddomain.tld@google.com/,anom
https://google.com/,anom
https://www.whitelisteddomain.tld@google.com/,anom
/https://google.com/,anom
/https://www.whitelisteddomain.tld@google.com/,anom
//google.com//,anom
//www.whitelisteddomain.tld@google.com//,anom
///google.com//,anom
///www.whitelisteddomain.tld@google.com//,anom
////google.com//,anom
////www.whitelisteddomain.tld@google.com//,anom
https://google.com//,anom
https://www.whitelisteddomain.tld@google.com//,anom
//https://google.com//,anom
//https://www.whitelisteddomain.tld@google.com//,anom
//www.google.com/%2e%2e%2f,anom
//www.whitelisteddomain.tld@www.google.com/%2e%2e%2f,anom
///www.google.com/%2e%2e%2f,anom
///www.whitelisteddomain.tld@www.google.com/%2e%2e%2f,anom
////www.google.com/%2e%2e%2f,anom
////www.whitelisteddomain.tld@www.google.com/%2e%2e%2f,anom
https://www.google.com/%2e%2e%2f,anom
https://www.whitelisteddomain.tld@www.google.com/%2e%2e%2f,anom
//https://www.google.com/%2e%2e%2f,anom
//https://www.whitelisteddomain.tld@www.google.com/%2e%2e%2f,anom
///www.google.com/%2e%2e,anom
///www.whitelisteddomain.tld@www.google.com/%2e%2e,anom
////www.google.com/%2e%2e,anom
////www.whitelisteddomain.tld@www.google.com/%2e%2e,anom
https:///www.google.com/%2e%2e,anom
https:///www.whitelisteddomain.tld@www.google.com/%2e%2e,anom
//https:///www.google.com/%2e%2e,anom
//www.whitelisteddomain.tld@https:///www.google.com/%2e%2e,anom
/https://www.google.com/%2e%2e,anom
/https://www.whitelisteddomain.tld@www.google.com/%2e%2e,anom
///www.google.com/%2f%2e%2e,anom
///www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
////www.google.com/%2f%2e%2e,anom
////www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
https:///www.google.com/%2f%2e%2e,anom
https:///www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
/https://www.google.com/%2f%2e%2e,anom
/https://www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
/https:///www.google.com/%2f%2e%2e,anom
/https:///www.whitelisteddomain.tld@www.google.com/%2f%2e%2e,anom
/%09/google.com,anom
/%09/www.whitelisteddomain.tld@google.com,anom
//%09/google.com,anom
//%09/www.whitelisteddomain.tld@google.com,anom
///%09/google.com,anom
///%09/www.whitelisteddomain.tld@google.com,anom
////%09/google.com,anom
////%09/www.whitelisteddomain.tld@google.com,anom
https://%09/google.com,anom
https://%09/www.whitelisteddomain.tld@google.com,anom
/%5cgoogle.com,anom
/%5cwww.whitelisteddomain.tld@google.com,anom
//%5cgoogle.com,anom
//%5cwww.whitelisteddomain.tld@google.com,anom
///%5cgoogle.com,anom
///%5cwww.whitelisteddomain.tld@google.com,anom
////%5cgoogle.com,anom
////%5cwww.whitelisteddomain.tld@google.com,anom
https://%5cgoogle.com,anom
https://%5cwww.whitelisteddomain.tld@google.com,anom
/https://%5cgoogle.com,anom
/https://%5cwww.whitelisteddomain.tld@google.com,anom
https://google.com,anom
https://www.whitelisteddomain.tld@google.com,anom
javascript:alert(1);,anom
javascript:alert(1),anom
//javascript:alert(1);,anom
/javascript:alert(1);,anom
